nameDAY,traffic,accident,fix,Rain,Vibhavadi,Khae_Rai_Intersection,PhraNangKlao_Bridge,Rattanathibet,PhongPhet_Intersection,Bangkhen,Kaset_Intersection,Ngamwongwan
Mon,0,0,0,0,0,0,0,0,0,0,0,0
Mon,0,0,0,0,0,0,0,0,0,0,0,0
Mon,1,1,0,0,1,0,0,0,0,1,0,0
Mon,1,0,0,0,0,0,0,0,0,0,0,0
Mon,1,0,0,0,1,0,0,0,0,0,0,0
Mon,1,1,0,1,0,0,1,1,0,1,0,0
Mon,1,1,0,0,1,0,0,0,0,0,1,0
Mon,0,0,1,0,0,0,0,0,0,0,0,0
Mon,1,0,0,0,0,0,0,0,0,1,0,0
Mon,1,0,0,0,1,0,0,0,0,0,0,0
Mon,1,1,0,0,0,0,0,0,0,1,0,0
Mon,1,0,0,1,0,1,0,1,0,1,0,1
Mon,0,0,0,0,0,0,0,0,0,0,0,0
Mon,1,0,0,0,0,1,1,0,0,0,0,0
